Date,TEMP,HUMI,RAIN,WIND,AIRP,SOLA,SUNH
2015/6/17,29.9,77,0,8.9,1006,27.74,11.5
2015/6/18,30.2,75,0,7.4,1005.3,27.68,11.7
2015/6/19,30.2,75,0,8.6,1006.1,26.75,10.5
2015/6/20,30.6,75,0,6.8,1006.5,25.6,10
2015/6/21,28.2,88,45.7,10,1005.1,14.42,3.4
2015/6/22,27.7,90,24.9,10.5,1003.2,10.23,1.5
2015/6/23,26.9,92,52.6,7.5,1003.9,7.91,0.3
2015/6/24,27.8,89,9.7,7.1,1005.3,10.12,0.4
2015/6/25,27.6,90,25.8,6.9,1005.8,6.74,0.9
2015/6/26,29.2,82,10.4,7.4,1006.1,19.68,6.8
2015/6/27,30.2,77,0,8.6,1008.3,20.93,8.8
2015/6/28,30,78,4.1,8,1009.5,25.32,10.8
2015/6/29,30.1,76,0,8.9,1007.9,23.89,10.3
2015/6/30,30.2,78,0,8,1006,21.61,7.6
2015/7/1,30.4,78,0,8.5,1004.2,23.73,9
2015/7/2,30.4,78,0,9.1,1003.2,23.12,7.9
2015/7/3,30.2,79,0,7.7,1002.8,18.21,6.5
2015/7/4,30,77,0,5.6,1002.8,17.91,7.2
2015/7/5,29.3,79,0,6.8,1003.1,27.02,11
2015/7/6,29.3,71,0,6.6,1001.3,12.46,2.8
2015/7/7,29,60,0,8.9,1000.4,20.64,7.2
2015/7/8,28.6,61,0,7.8,1000.3,19.43,5
2015/7/9,27.2,72,2.6,9.3,997.4,9.99,0.4
2015/7/10,28,82,26.4,9.9,1000.2,20.6,7.3
2015/7/11,29.9,72,0,6.3,1000.1,20.84,8.5
2015/7/12,30.6,75,0,5.9,1001.1,21.96,9.5
2015/7/13,30.2,77,0,6.6,1002.3,21.62,9.3
2015/7/14,29.7,79,0,4.8,1002.1,14.51,4.8
2015/7/15,29.9,79,0,6,1001.1,19.21,6.5
2015/7/16,29.7,80,3.3,5.5,1000.5,14.34,5.2
2015/7/17,28.6,81,1.3,7.2,1001.5,18.61,6.2
2015/7/18,29,82,0.4,8.9,1001.6,16.43,5.3
2015/7/19,29.4,73,0.1,10.5,1001.2,18.41,6.3
2015/7/20,26.7,90,52,8.1,1001.4,3.08,0
2015/7/21,26.2,87,43.4,12.2,1006.6,4.44,0
2015/7/22,26.4,91,208.4,8.3,1008.4,1.63,0
2015/7/23,27.4,86,48.8,9.1,1007.9,4.38,0.3
2015/7/24,28.3,83,4.3,13.5,1006.9,8.19,1.8
2015/7/25,28,83,11,9.5,1006.6,8.41,0.7
2015/7/26,28,83,34.5,10,1009,10.37,1.3
2015/7/27,28.8,80,0.6,7.4,1011.4,18,5.5
2015/7/28,28.6,76,0,5.8,1012.1,24.28,9.3
2015/7/29,27.5,83,7.1,5.6,1011.6,16.33,5.3
2015/7/30,27.6,80,0.9,5.8,1011.1,14.87,3.4
2015/7/31,28.2,77,0,6,1011,26.95,11.4
2015/8/1,28.3,78,0,6.4,1011.2,24.94,10.7
2015/8/2,28.5,77,0,7.8,1011.6,27.21,11.4
2015/8/3,29.2,74,0,3.8,1010.6,26.46,10.3
2015/8/4,28.6,75,0,4.1,1008.3,16.08,5.7
2015/8/5,29,76,0,5.7,1006.1,26.58,10.8
2015/8/6,29.6,72,0,5.1,1005.3,24.56,10.6
2015/8/7,30.5,71,0,7.1,1003.4,20.82,10
2015/8/8,32.6,59,0,7.6,998.5,23.58,10.8
2015/8/9,30.7,69,17.5,8,998.5,23.29,10
2015/8/10,27.6,84,27.3,5.8,1004.5,9.04,0.6
2015/8/11,28.8,80,19.8,6.1,1007.3,20.23,6.5
2015/8/12,29.7,78,0,6,1007.9,22.94,9.1
2015/8/13,27.4,88,42.5,6.4,1007.9,5.79,0.1
2015/8/14,26.6,88,19.9,3.1,1007.4,4.29,0.2
2015/8/15,26.6,87,23.1,3.9,1008.5,3.3,0.3
2015/8/16,28.6,87,2,5.9,1008.5,8.59,0.2
2015/8/17,29.5,81,0,7.2,1008.2,23.23,8.4
2015/8/18,29.6,79,0,7.7,1008,25.92,10.2
2015/8/19,29.5,79,0,7.4,1007.7,25.7,10.4
2015/8/20,28.7,83,7.2,5.2,1006.3,11.82,5
2015/8/21,30.3,73,0,6.4,1002.2,19.97,7.7
2015/8/22,30.5,67,0,6.2,1000.1,15.82,6.1
2015/8/23,30.6,67,5.7,5.5,1000,19.01,7.6
2015/8/24,30.4,67,0,4.1,1002.4,19.49,7.8
2015/8/25,30.1,63,0,5.3,1005.5,18.8,9.1
2015/8/26,28,82,0.6,6.4,1008.1,8.01,1.1
2015/8/27,28.6,79,0,5.8,1008.1,19.39,6.7
2015/8/28,28,80,0.1,5.5,1006.5,14.04,4.5
2015/8/29,27.3,84,2.5,4,1006.2,9,3.1
2015/8/30,26.3,90,6.6,1.9,1006.8,4.98,0
2015/8/31,27.1,85,0.2,3.6,1007.4,9.78,0.9
2015/9/1,27,88,7.8,7.5,1007.8,9.54,0.4
2015/9/2,25.1,93,38.9,7.9,1010.9,2.27,0
2015/9/3,27.4,87,0.3,7.5,1013,10.74,0.7
2015/9/4,28.8,81,0,5.8,1013.1,22.09,8.7
2015/9/5,28.9,79,0,6.7,1011.1,25.27,11
2015/9/6,29.3,81,0,8.1,1008.1,23.75,9.7
2015/9/7,28,86,7.5,5.5,1007.2,5.72,0.5
2015/9/8,27.4,74,0,11.4,1009.4,20.18,8.3
2015/9/9,27.5,75,0,9.5,1012,23.03,10.1
2015/9/10,27.4,75,0,9.6,1012.7,20.86,7.9
2015/9/11,27.4,77,0,10,1011.1,21.48,8.4
2015/9/12,27.4,75,0,8.7,1011.5,18.07,6.7
2015/9/13,27.4,66,0,10.8,1013,22.46,9.2
2015/9/14,27.3,70,0,10.8,1012.2,23.14,9.3
2015/9/15,28.1,72,0,11.9,1011.3,23.08,9
2015/9/16,27.4,81,5,10.8,1011.9,13.9,2.1
2015/9/17,27.5,79,0,10.1,1014.6,19.8,7.1
2015/9/18,27.8,78,0,7.6,1015,20.72,8.6
2015/9/19,27.8,80,0,4.6,1012.2,11.39,3.8
2015/9/20,28.3,78,0,6.7,1009.3,18.12,7.7
2015/9/21,26.8,81,19.5,5,1008.6,7.96,0.4
2015/9/22,28,84,1.4,8,1009.9,20.78,8.8
2015/9/23,28.5,81,0,4.4,1009.1,14.15,6.8
2015/9/24,29,78,0,7.5,1006.7,23.76,11.1
2015/9/25,29.4,78,0,7.2,1004.9,23.62,11
2015/9/26,28.3,87,7,5.6,1006.7,11.85,4.7
2015/9/27,27.7,81,2.2,4.8,1008.2,9.87,2.5
2015/9/28,29,56,0,7,1006.7,21.98,11.1
2015/9/29,29.5,53,0,7.7,1005.6,20.82,10.4
2015/9/30,29.4,75,0,6.4,1011,19.6,8.5
2015/10/1,28.5,81,0.3,3.8,1013,11.49,2.9
2015/10/2,27.5,73,1.9,9,1012.4,13.01,4.2
2015/10/3,26.5,80,49.3,14.5,1011.7,10.88,1.6
2015/10/4,26.5,89,35.3,22,1013.2,2.76,0
2015/10/5,26.5,89,14.4,14.1,1015.2,5.39,0.9
2015/10/6,25.8,93,54.3,9.6,1014.1,3.56,0.4
2015/10/7,26.1,91,11.2,3.9,1012.7,5.65,0.7
2015/10/8,27.7,74,0,7.5,1010.5,20.77,10.6
2015/10/9,26.5,67,0,6,1011.3,16.44,7.1
2015/10/10,23.6,74,1,8.5,1013.7,6.93,0.6
2015/10/11,20,74,1.3,10.8,1018,3,0
2015/10/12,23,62,0,5.3,1019,7.75,0
2015/10/13,24.8,66,0.1,8.5,1018.7,20.16,10.5
2015/10/14,24.4,73,0,6.8,1017.4,17.48,7.4
2015/10/15,24.8,75,0,5.9,1015.2,18.35,9.1
2015/10/16,25.3,72,0,4.9,1013.8,19.99,10.5
2015/10/17,25.5,66,0,4.6,1013.4,20.53,10.5
2015/10/18,24.8,69,0,3.8,1012.5,19.14,9.7
2015/10/19,24.9,55,0,5.6,1010.2,14.42,4.4
2015/10/20,25.8,54,0,5.5,1008.3,16.77,7.5
2015/10/21,26.1,63,0,3.5,1010.2,13.42,6.4
2015/10/22,26.4,69,0,4.5,1012,14.49,7.8
2015/10/23,26.4,72,0,5.4,1013,16.88,8.3
2015/10/24,26.3,75,0,7.6,1015,16.85,8.2
2015/10/25,25.4,76,0.1,13,1016.8,10.17,3
2015/10/26,24.7,82,0.4,9.8,1016.8,6.47,0.8
2015/10/27,26.2,75,0,4.2,1015.6,17.28,9.5
2015/10/28,26.4,80,0,9.3,1017,18.07,9.5
2015/10/29,25.8,80,0,11.2,1018.2,15.84,7
2015/10/30,26.2,80,0,7.6,1017.8,18.18,8.4
2015/10/31,25,78,0.3,13,1020.4,13.41,5.3
2015/11/1,22.1,71,0,8.1,1020.9,12.03,4.3
2015/11/2,22.1,63,0,5.8,1019.8,14.94,7.5
2015/11/3,23,73,0,9.7,1019.5,11.97,2.4
2015/11/4,24.2,76,0,8.3,1018.1,11.79,3
2015/11/5,25.4,79,0,10,1016.1,16.33,6.5
2015/11/6,24.9,83,0,10.7,1015.6,5.68,0.5
2015/11/7,25.9,84,0.1,11,1016.3,11.96,3.4
2015/11/8,26.2,84,0,7.4,1016.4,13.77,5.9
2015/11/9,26.4,80,0,4.9,1015.8,16.24,7.7
2015/11/10,24.1,81,1,12.9,1016.9,7.1,1.1
2015/11/11,23.2,81,0.6,14.7,1017.7,8.53,2.6
2015/11/12,23.2,85,0.1,13.1,1017.3,2.61,0
2015/11/13,23.1,89,9.9,7.8,1015.2,4.43,0.3
2015/11/14,24.1,81,0,3,1014.5,11.79,5.5
2015/11/15,23.7,87,11.7,11.9,1015.2,2.7,0.1
2015/11/16,24.6,90,6.4,9,1013.7,8.22,2.3
2015/11/17,25.5,88,0,8,1013.9,15.77,7
2015/11/18,25.9,83,0,2.8,1016,14.28,8.2
2015/11/19,25.6,82,0,8.3,1017,15.44,5.9
2015/11/20,24.1,82,0,11.3,1017.2,5.06,1.1
2015/11/21,24.3,78,0,11.2,1017,7.82,0.4
2015/11/22,25.2,75,0,8.3,1017.1,16.04,8.3
2015/11/23,24.9,77,0,6.5,1016.7,14.27,7.7
2015/11/24,24,73,0,9.9,1016.7,17.36,9.8
2015/11/25,22,68,0,9.4,1017.7,14.17,6.9
2015/11/26,17.3,46,0,10.8,1020.6,10.82,3.5
2015/11/27,17.7,53,0,10.7,1022.4,16.06,8.6
2015/11/28,20.3,69,0,12.2,1022.5,16.22,8.6
2015/11/29,21.7,75,0,4.5,1021.2,14.84,8.8
2015/11/30,22,73,0,4.3,1018.9,12.45,6
2015/12/1,22.2,79,0,8,1017.6,9.78,2
2015/12/2,22.9,79,0,6.7,1017.1,13.26,6.3
2015/12/3,19.9,76,0.1,7.8,1019.4,2.41,0
2015/12/4,18.9,74,0,11.1,1021.1,8.6,0.6
2015/12/5,17.7,85,14.8,12.3,1018.4,1.97,0.1
2015/12/6,15.9,73,1,6.9,1021.3,6.42,0.1
2015/12/7,16.7,68,0.1,4.9,1023.1,8.95,0.9
2015/12/8,17.5,75,0.7,6.1,1022.2,2.76,0
2015/12/9,17.2,93,43.2,6.7,1016.8,1.66,0
2015/12/10,19.3,83,2.6,4,1015.5,11.86,5.1
2015/12/11,19.6,73,0,6.7,1016.4,12.58,6.3
2015/12/12,19.5,83,0,14.2,1016.2,4.31,0.2
2015/12/13,19.8,86,0,12.1,1016.4,4.31,0
2015/12/14,20,81,0.1,8,1016.6,5.42,0.4
2015/12/15,17.7,66,0,8.7,1019,8.42,2.2
2015/12/16,14.5,43,0,14.1,1022.5,15.54,9.3
2015/12/17,12.6,30,0,12.7,1025.9,16.46,9.1
2015/12/18,13.6,41,0,8.7,1026.4,16.39,9.5
2015/12/19,15.9,56,0,7.3,1025.4,6,2.1
2015/12/20,17,74,1.1,3.3,1022.5,2.39,0
2015/12/21,19.2,80,0,8.5,1021.3,8.46,1.6
2015/12/22,19.5,86,0.6,11.3,1020.3,5.33,0.3
2015/12/23,20.8,91,0,7.6,1017.8,5.5,0
2015/12/24,22.2,91,0,5,1016.8,13.4,6
2015/12/25,17.7,72,0,8.3,1020.4,5.97,0.7
2015/12/26,17.3,73,0,5.3,1020.6,6.14,0.6
2015/12/27,17.2,83,0.2,4.8,1022.7,2.6,0
2015/12/28,16.7,72,0,7.9,1026.6,5.75,1
2015/12/29,17.2,74,0,10,1025.9,11.5,4.6
2015/12/30,16.6,75,0.6,6.5,1025.3,8.82,1.2
2015/12/31,16.8,74,0,6.3,1026.4,11.6,5.7
2016/1/1,18,71,0,8,1025.9,15.24,9.3
2016/1/2,18.4,81,0.3,4.3,1022,7.77,0.6
2016/1/3,18.9,95,5.6,4.8,1019.7,4.39,0
2016/1/4,20.4,90,0,7.5,1018.9,8.59,1
2016/1/5,20.2,96,53,6.8,1015.9,2.23,0
2016/1/6,21,79,0,6.5,1018.8,14.99,7.7
2016/1/7,18.2,75,0,7.6,1021.8,9.65,3.4
2016/1/8,17.9,76,0,4.7,1020.8,14.24,7.7
2016/1/9,17.7,76,0,12.4,1020.6,9.68,3.3
2016/1/10,17.3,85,7.6,13.8,1017.5,2.76,0
2016/1/11,18,85,26.3,5.9,1016.5,8.52,2.1
2016/1/12,16.8,76,0,7,1019.9,7.24,0.6
2016/1/13,15.7,70,0,8.5,1020.8,16.14,9.1
2016/1/14,15.7,78,0,9.4,1019.3,7.14,1.5
2016/1/15,14.6,95,15,9.9,1015.4,1.42,0
2016/1/16,16.1,95,11.5,14.3,1013.5,2.19,0
2016/1/17,17.7,87,19,6.6,1011.5,6.49,1.6
2016/1/18,14.7,72,0,7.3,1017.1,10.45,3.9
2016/1/19,16,74,0,9.1,1020.1,6.45,1
2016/1/20,14.9,91,3.3,16.6,1019.6,1.85,0
2016/1/21,15.7,95,0.7,6.2,1017.7,2.45,0
2016/1/22,13.5,90,15.1,10.4,1018.9,1.96,0
2016/1/23,7.7,62,0.1,15.4,1027.1,3.2,0
2016/1/24,4.3,45,3.5,17.1,1034.6,2.93,0
2016/1/25,7.2,29,0,10.7,1032.6,19.07,10.1
2016/1/26,10.1,50,0,4.3,1027.1,5.83,0.4
2016/1/27,12.9,90,4.2,7.5,1022.7,5.01,0.2
2016/1/28,16,98,47.3,10.3,1018.2,2.45,0
2016/1/29,16.6,95,29.3,8.8,1017.9,6.38,0.2
2016/1/30,17.6,86,0,5.5,1020,10.61,3.3
2016/1/31,15.3,85,0.3,15.8,1019.9,4.2,0.1
2016/2/1,11.9,87,12.1,7,1022.2,2.39,0
2016/2/2,9.6,75,0,7.1,1024.4,3.55,0
2016/2/3,12.1,72,0,6.9,1023.6,8.48,0.3
2016/2/4,15,75,0,5.8,1021.8,17.42,9.2
2016/2/5,14.7,59,0,8.7,1021.2,19.06,10.1
2016/2/6,13.4,26,0,18.1,1024.9,20.26,10.2
2016/2/7,13.4,23,0,9.2,1026.1,21.46,10.2
2016/2/8,14.3,44,0,6.8,1023.9,21.65,10.2
2016/2/9,16.8,45,0,8.3,1020.8,20,10.2
2016/2/10,16.5,59,0.4,12.6,1017.5,4.84,0.1
2016/2/11,18.8,85,0,10.5,1014.9,11.52,2.4
2016/2/12,19.2,95,0.2,7.8,1013.4,6.89,0.6
2016/2/13,23.1,88,0,6.8,1012.5,10.58,3.5
2016/2/14,21.7,78,0,6.2,1014.8,12.16,3.9
2016/2/15,12.2,58,0,10.7,1024.3,3.9,0
2016/2/16,12.2,57,0,7.7,1025.4,9.03,0.7
2016/2/17,12.1,73,3.6,4.8,1024.1,2.9,0
2016/2/18,13.2,86,4.1,5.1,1021.9,4.09,0
2016/2/19,15,86,5.6,6,1020.3,1.54,0
2016/2/20,16.1,58,2.9,7.9,1023.2,14.64,5.9
2016/2/21,14.4,75,0,17,1022.2,3.33,0
2016/2/22,16,91,0.4,10.9,1020.6,6.13,0.3
2016/2/23,15.4,90,0.4,4.1,1022.3,2.59,0
2016/2/24,13.1,74,0,9,1027.5,6.32,0
2016/2/25,14.3,71,0,6.7,1028.9,6.58,0.1
2016/2/26,14.9,78,0,3.9,1027.4,7.28,0.2
2016/2/27,15.5,74,0,4.9,1024.7,15.89,5
2016/2/28,16.3,69,0,5.3,1023.8,21.09,9.5
2016/2/29,18.5,53,0,9.8,1024.4,23.04,10.7
2016/3/1,15.8,70,0,15.5,1024.7,22.16,9.9
2016/3/2,15.9,70,0,11.7,1023.8,23.18,10.6
2016/3/3,18.2,74,0,7.2,1020.9,21.61,10
2016/3/4,19.9,80,0,6.7,1018.1,12.93,3
2016/3/5,20.6,76,0,5.6,1016.7,8.09,0.5
2016/3/6,21.5,78,0,3,1015.8,17.17,7.6
2016/3/7,19.4,91,0.2,8.6,1014.9,5.64,0
2016/3/8,19.8,93,0,9.4,1012.5,6.48,0.3
2016/3/9,20.3,95,8.3,9.9,1012.5,6.37,0.6
2016/3/10,12.6,88,14.8,12,1019.5,1.96,0
2016/3/11,11.1,72,0,6.6,1022.6,5.82,0
2016/3/12,12.9,86,0.1,11.9,1017.7,2.63,0
2016/3/13,15.4,97,9.3,11.9,1014.5,2.97,0
2016/3/14,15,77,0.1,7.2,1018,5.69,1.1
2016/3/15,14.1,77,0,12.5,1017.1,2.61,0
